Unnamed: 0,영업팀,영업그룹,파트,대표거래선,기준품목,월(AB),주(AB),메져_구분,SMSS_ATTR01,SMSS_ATTR02,SMSS_ATTR03,◆_AP1_S/I FCST_예상,◆_AP1_RTF_예상,◆_AP1_S/O FCST_예상,◆_실판매_모바일/유통직판 포함,◆_매출
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y07W,금액,,,,10258427.889,10258427.889,11867311.5,11867311.5,10258427.889
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y07W,금액,25kg,,,160640573.199,160640573.199,245840335.39999998,245840335.40000004,160640573.199
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y07W,금액,25kg,9시리즈,,29007239.941,29007239.941,3512082.2,3512082.2,29007239.941
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y07W,금액,25kg,8시리즈,,121628401.215,121628401.215,124450991.5,124450991.50000001,121628401.215
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y07W,금액,21-20kg,,,263637985.71999997,263637985.71999997,329300193.2,329300193.2,263637985.71999994
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y07W,금액,19-18kg,,,24859689.778,24859689.778,34602673.6,34602673.6,24859689.778
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y07W,금액,15kg↓,,,499424.708,499424.708,13754901.6,13754901.6,499424.708
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y08W,수량,,,,54.0,54.0,20.0,20.0,54.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y08W,수량,25kg,,,124.0,124.0,92.0,92.0,124.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y08W,수량,25kg,9시리즈,,,,4.0,4.0,
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y08W,수량,25kg,8시리즈,,39.0,39.0,26.0,26.0,39.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y08W,수량,21-20kg,,,280.0,280.0,314.0,314.0,280.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y08W,수량,19-18kg,,,153.0,153.0,40.0,40.0,153.0
,이커머스,SOP,가전,회산,세탁기,26Y02M,26Y08W,수량,15kg↓,,,,,17.0,17.0,
